index_no,model,simulation,scenario,run,step,time,agent_name,labor_demand,offered_wage,desired_output,output,labor_to_contract,labor_contracted,unitary_cost,price,deposits_cash,desired_perc_inv,perc_inv,mark_up
0,macro_Caiani,macro_Caiani, ,0,0,2020-02-07T14:50, ,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-02-07T14:50,KG_0,10.010303875405047,1.4002682801769553,<accounting.GoodOrService object at 0x7f93a9056c18>,9.839893272082218,11.258434196490889,9.630657561486274,10.61270285966044,9.348736759152482,9.762643123580018,0.16636627828852704,0.08638245533034997,0.1257997229862143
2,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-02-07T14:50,KG_1,10.942552017738407,1.0116859696000842,<accounting.GoodOrService object at 0x7f93a9056198>,9.732944133661924,10.849992415291071,11.70893223135688,10.332298315246433,10.781308470611762,10.30983986889812,0.08757865226677067,0.11061084320229062,0.14651254386601176
3,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-02-07T14:50,KG_0,10.010303875405047,1.4002682801769553,<accounting.GoodOrService object at 0x7f93a9056ef0>,9.839893272082218,11.258434196490889,9.630657561486274,10.61270285966044,9.348736759152482,9.762643123580018,0.16636627828852704,0.08638245533034997,0.1257997229862143
4,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-02-07T14:50,KG_1,10.942552017738407,1.0116859696000842,<accounting.GoodOrService object at 0x7f93a9056470>,9.732944133661924,10.849992415291071,11.70893223135688,10.332298315246433,10.781308470611762,10.30983986889812,0.08757865226677067,0.11061084320229062,0.14651254386601176
5,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-02-07T14:50,KG_0,10.010303875405047,1.4002682801769553,<accounting.GoodOrService object at 0x7f93a9053ac8>,9.839893272082218,11.258434196490889,9.630657561486274,10.61270285966044,9.348736759152482,9.762643123580018,0.16636627828852704,0.08638245533034997,0.1257997229862143
6,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-02-07T14:50,KG_1,10.942552017738407,1.0116859696000842,<accounting.GoodOrService object at 0x7f93a9053f60>,9.732944133661924,10.849992415291071,11.70893223135688,10.332298315246433,10.781308470611762,10.30983986889812,0.08757865226677067,0.11061084320229062,0.14651254386601176
7,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-02-07T14:50,KG_0,10.010303875405047,1.4002682801769553,<accounting.GoodOrService object at 0x7f93a904ad68>,9.839893272082218,11.258434196490889,9.630657561486274,10.61270285966044,9.348736759152482,9.762643123580018,0.16636627828852704,0.08638245533034997,0.1257997229862143
8,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-02-07T14:50,KG_1,10.942552017738407,1.0116859696000842,<accounting.GoodOrService object at 0x7f93a904aac8>,9.732944133661924,10.849992415291071,11.70893223135688,10.332298315246433,10.781308470611762,10.30983986889812,0.08757865226677067,0.11061084320229062,0.14651254386601176
9,macro_Caiani,macro_Caiani,Scenario1,0,4,2020-02-07T14:50,KG_0,10.010303875405047,1.4002682801769553,<accounting.GoodOrService object at 0x7f93a904a5c0>,9.839893272082218,11.258434196490889,9.630657561486274,10.61270285966044,9.348736759152482,9.762643123580018,0.16636627828852704,0.08638245533034997,0.1257997229862143
10,macro_Caiani,macro_Caiani,Scenario1,0,4,2020-02-07T14:50,KG_1,10.942552017738407,1.0116859696000842,<accounting.GoodOrService object at 0x7f93a9056f28>,9.732944133661924,10.849992415291071,11.70893223135688,10.332298315246433,10.781308470611762,10.30983986889812,0.08757865226677067,0.11061084320229062,0.14651254386601176
11,macro_Caiani,macro_Caiani,Scenario1,0,5,2020-02-07T14:50,KG_0,10.010303875405047,1.4002682801769553,<accounting.GoodOrService object at 0x7f93a904a8d0>,9.839893272082218,11.258434196490889,9.630657561486274,10.61270285966044,9.348736759152482,9.762643123580018,0.16636627828852704,0.08638245533034997,0.1257997229862143
12,macro_Caiani,macro_Caiani,Scenario1,0,5,2020-02-07T14:50,KG_1,10.942552017738407,1.0116859696000842,<accounting.GoodOrService object at 0x7f93a9056f60>,9.732944133661924,10.849992415291071,11.70893223135688,10.332298315246433,10.781308470611762,10.30983986889812,0.08757865226677067,0.11061084320229062,0.14651254386601176
