index_no,model,simulation,scenario,run,step,time,agent_name,labor_demand,labor_productivity,offered_wage,desired_output,desired_output_value,output,labor_to_contract,labor_contracted,unitary_cost,price,deposits_cash,desired_perc_inv,perc_inv,mark_up
0,macro_Caiani,macro_Caiani, ,0,0,2020-04-10T16:06, ,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-04-10T16:06,KG_0,25.92052263135203,0.6448427295813707,0.9480571172995341,<agents_accounting.GoodOrService object at 0x7fd0dbcf1940>,40.196657948178355,10.07023894630219,8.544433155655696,10.987035640076511,9.907064031895331,9.44732871279293,9.952534918967897,0.2582336127423162,0.06670191449705049,-0.03425983797999814
2,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-04-10T16:06,KG_1,30.139123469059907,0.7572795088078781,0.9073319340653248,<agents_accounting.GoodOrService object at 0x7fd0dbcf10a0>,39.79920639409009,10.175665443782016,8.385000441645198,10.55248998576577,11.15097579241858,10.060609637832663,11.326695132949832,0.25718625267830864,0.050492145882067276,0.043560124165756345
3,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-04-10T16:06,KG_2,10.338940863167409,0.25782503881921165,0.9036613334628991,<agents_accounting.GoodOrService object at 0x7fd0dbcf1e20>,40.10060818963798,10.039243836690494,10.580699174263112,11.320835763424933,12.237461677707255,9.734565975797631,10.029480956803285,0.2519753037875059,0.08864586222208534,0.08481523794213512
4,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-04-10T16:06,KG_3,44.1901711931806,1.121564549001378,0.9536684923686914,<agents_accounting.GoodOrService object at 0x7fd0dbcdf1f0>,39.400470737530696,10.058514478458195,9.114585945703125,10.390510421128717,9.61566590912417,9.35931476993943,10.490998327216973,0.24987419435903555,0.09458203284534912,0.12192650865477152
5,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-04-10T16:06,KG_4,48.2634849622062,1.1956550363004967,0.8015141864542957,<agents_accounting.GoodOrService object at 0x7fd0dbcf1190>,40.365727151151674,9.945768179455284,9.32673653326528,9.340334629591839,12.082260648778485,8.664492126253279,10.418874237102823,0.2591906801336883,0.16821987301172997,0.09070715129852769
6,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-04-10T16:06,KG_0,25.92052263135203,0.6448427295813707,0.9480571172995341,<agents_accounting.GoodOrService object at 0x7fd0dbce9e80>,40.196657948178355,10.07023894630219,8.544433155655696,10.987035640076511,9.907064031895331,9.44732871279293,9.952534918967897,0.2582336127423162,0.06670191449705049,-0.03425983797999814
7,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-04-10T16:06,KG_1,30.139123469059907,0.7572795088078781,0.9073319340653248,<agents_accounting.GoodOrService object at 0x7fd0dbcdf3a0>,39.79920639409009,10.175665443782016,8.385000441645198,10.55248998576577,11.15097579241858,10.060609637832663,11.326695132949832,0.25718625267830864,0.050492145882067276,0.043560124165756345
8,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-04-10T16:06,KG_2,10.338940863167409,0.25782503881921165,0.9036613334628991,<agents_accounting.GoodOrService object at 0x7fd0dbcf5b20>,40.10060818963798,10.039243836690494,10.580699174263112,11.320835763424933,12.237461677707255,9.734565975797631,10.029480956803285,0.2519753037875059,0.08864586222208534,0.08481523794213512
9,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-04-10T16:06,KG_3,44.1901711931806,1.121564549001378,0.9536684923686914,<agents_accounting.GoodOrService object at 0x7fd0dbcedfa0>,39.400470737530696,10.058514478458195,9.114585945703125,10.390510421128717,9.61566590912417,9.35931476993943,10.490998327216973,0.24987419435903555,0.09458203284534912,0.12192650865477152
10,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-04-10T16:06,KG_4,48.2634849622062,1.1956550363004967,0.8015141864542957,<agents_accounting.GoodOrService object at 0x7fd0dbcedca0>,40.365727151151674,9.945768179455284,9.32673653326528,9.340334629591839,12.082260648778485,8.664492126253279,10.418874237102823,0.2591906801336883,0.16821987301172997,0.09070715129852769
11,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-04-10T16:06,KG_0,25.92052263135203,0.6448427295813707,0.9480571172995341,<agents_accounting.GoodOrService object at 0x7fd0dbced9d0>,40.196657948178355,10.07023894630219,8.544433155655696,10.987035640076511,9.907064031895331,9.44732871279293,9.952534918967897,0.2582336127423162,0.06670191449705049,-0.03425983797999814
